age,monthly_income,loan_amount,repayment_period,credit_history,debt_to_income_ratio,past_default_flag,previous_loan_count,on_time_repayment_count,fraud_score,recent_application_count,kyc_face_verified,ocr_id_verified,id_reuse_flag,approved
56,167828,214983,1,4,1.281,0,7,5,0.0169,1,1,0,0,0
46,5982,311195,18,9,2.8901,0,4,2,0.096,1,1,1,0,0
32,242261,234966,36,6,0.0269,0,7,6,0.2161,2,1,1,0,1
60,58039,387217,6,5,1.1119,0,3,3,0.3254,4,1,1,0,0
25,300512,270010,36,4,0.025,0,9,7,0.0689,1,1,1,0,1
38,87219,488296,24,5,0.2333,0,1,0,0.1361,4,1,1,0,1
56,26244,386726,12,1,1.228,1,2,2,0.202,3,1,1,0,0
36,35410,129379,1,9,3.6537,0,5,5,0.1177,4,1,1,0,0
40,5554,464673,24,0,3.486,0,9,7,0.0168,2,1,1,0,0
28,5738,249241,12,0,3.6197,0,5,4,0.0808,0,1,0,0,0
28,43371,178185,12,7,0.3424,0,6,4,0.0871,2,0,1,0,1
41,94569,42522,6,2,0.0749,1,3,3,0.1147,4,1,1,0,1
53,42180,328287,36,2,0.2162,0,7,7,0.0965,4,1,1,0,1
57,227,295903,18,8,72.4187,0,7,7,0.1018,0,1,1,0,0
41,6665,285809,18,5,2.3823,0,6,6,0.0377,2,1,0,0,0
20,177268,353622,36,3,0.0554,0,2,1,0.0284,2,1,1,0,1
39,51977,203857,3,3,1.3074,0,2,0,0.1784,4,0,1,0,0
19,281456,460545,24,6,0.0682,0,1,1,0.212,3,1,0,0,1
41,31560,28679,18,5,0.0505,0,6,6,0.0525,1,1,0,0,1
61,89176,54883,6,1,0.1026,1,5,5,0.0245,4,1,1,1,0
47,139241,342673,24,8,0.1025,0,6,4,0.2667,4,1,1,0,1
55,100449,493506,12,1,0.4094,0,1,1,0.0412,1,1,1,0,1
19,11239,354213,1,7,31.5164,0,3,1,0.4551,0,1,1,1,0
38,96462,70131,1,3,0.727,1,0,0,0.2068,4,1,1,0,0
50,9069,49295,18,9,0.302,0,1,1,0.2645,3,1,1,0,0
29,57039,444222,3,0,2.596,0,6,5,0.0056,0,1,1,0,0
39,61987,179253,1,0,2.8918,0,4,2,0.0854,0,0,1,0,0
61,26225,182793,3,8,2.3234,0,9,8,0.2463,0,0,1,0,0
42,88459,265400,1,3,3.0003,0,2,2,0.0643,4,1,1,0,0
44,28936,275245,3,0,3.1707,0,1,0,0.1764,0,1,1,0,0
59,95903,440706,36,2,0.1276,0,2,1,0.0721,2,0,1,0,1
45,133998,54255,3,2,0.135,1,3,2,0.2331,4,1,1,0,1
33,128877,95944,12,6,0.062,0,9,8,0.0537,4,1,1,1,0
32,110269,490698,6,5,0.7417,0,9,8,0.1542,1,0,1,0,1
64,76748,371862,1,7,4.8452,0,4,2,0.1305,0,1,1,0,0
61,187188,169016,24,6,0.0376,0,7,5,0.1903,4,0,1,0,1
20,13380,74497,18,0,0.3093,0,8,8,0.0462,3,1,1,0,0
54,189370,278560,6,2,0.2452,0,1,0,0.2053,3,0,1,1,0
24,407817,432238,12,8,0.0883,0,2,0,0.1514,4,1,1,0,1
38,31498,9429,12,3,0.0249,0,3,3,0.2173,4,1,1,0,1
26,40989,145855,12,2,0.2965,0,6,4,0.0664,3,1,1,0,1
56,60888,61632,18,4,0.0562,0,5,5,0.037,3,1,1,0,1
35,57744,287434,1,7,4.9777,0,5,5,0.1428,2,1,1,0,0
21,170650,456705,1,0,2.6763,0,9,7,0.2715,3,1,1,0,0
42,222088,390306,36,1,0.0488,0,6,5,0.1434,2,1,0,0,1
31,226051,318297,36,6,0.0391,0,0,0,0.1059,4,1,1,0,1
26,8035,374365,3,0,15.5306,0,7,6,0.123,0,1,1,0,0
43,71815,297644,3,4,1.3815,0,8,8,0.1256,0,1,1,0,0
19,79519,45021,24,9,0.0236,1,1,0,0.2193,1,1,1,0,0
37,149137,100118,3,7,0.2238,1,0,0,0.2211,2,1,0,0,0
45,148108,357965,18,5,0.1343,1,3,3,0.3618,3,1,1,0,1
64,199269,106339,6,2,0.0889,0,1,0,0.2011,2,1,1,0,1
24,144493,460938,36,6,0.0886,0,5,4,0.1463,1,1,1,0,1
61,651,57733,1,2,88.6836,0,2,0,0.0485,1,1,1,0,0
25,192027,478361,3,4,0.8304,0,8,6,0.282,2,0,0,0,0
64,107830,141248,36,6,0.0364,0,7,6,0.0416,3,1,1,0,1
52,36518,91909,18,1,0.1398,0,6,6,0.3654,4,1,1,0,1
31,38052,98491,18,9,0.1438,0,6,6,0.2222,4,1,1,0,1
34,84803,415773,24,3,0.2043,0,6,4,0.1351,4,1,1,0,1
53,86524,357418,3,1,1.377,1,4,4,0.3825,1,1,1,0,0
57,104572,222727,36,6,0.0592,0,7,6,0.0197,2,1,1,0,1
21,16301,449250,36,2,0.7655,0,3,2,0.4486,1,0,0,0,0
19,5056,83439,24,8,0.6876,0,4,2,0.1727,3,1,1,0,0
