age,monthly_income,loan_amount,repayment_period,interest_rate,employment_type,credit_history,past_default_flag,previous_loan_count,on_time_repayment_count,debt_to_income_ratio,payment_to_income_ratio,days_to_first_payment,partial_payments,missed_payments,defaulted
63,155122,480283,12,0.1324,2,3,0,0,0,0.258,0.2922,47,4,8,0
20,125637,363456,18,0.2225,0,8,1,8,7,0.1607,0.1965,45,0,0,0
46,261580,175116,18,0.1225,0,8,1,3,1,0.0372,0.0417,42,4,1,1
52,32785,263263,18,0.257,0,9,0,1,0,0.4461,0.5608,30,0,7,0
56,79260,10326,24,0.2906,0,9,0,1,0,0.0054,0.007,31,2,20,0
35,284306,322282,3,0.208,2,9,0,1,0,0.3779,0.4565,16,0,1,0
37,209156,64794,3,0.1337,2,8,1,4,3,0.1033,0.1171,3,1,1,0
60,265198,34381,18,0.1241,2,6,0,6,4,0.0072,0.0081,24,2,11,0
40,115590,479357,12,0.2931,2,4,1,8,8,0.3456,0.4469,30,2,3,0
51,84706,418075,6,0.2499,2,0,0,4,4,0.8226,1.0281,50,0,0,1
50,19678,497133,1,0.2904,1,6,1,8,6,25.2634,32.5999,24,4,1,1
27,136957,376914,3,0.1529,2,2,0,5,3,0.9174,1.0576,11,2,1,0
50,228921,377304,12,0.1399,0,8,0,1,0,0.1373,0.1566,1,3,6,0
64,209808,77947,1,0.1047,1,0,1,4,4,0.3715,0.4104,40,2,1,1
50,168971,247769,18,0.2771,0,2,0,7,6,0.0815,0.104,1,4,2,0
43,20470,471062,24,0.1326,1,8,0,3,3,0.9588,1.086,35,4,6,1
37,220816,441939,18,0.2222,0,7,0,3,3,0.1112,0.1359,4,0,3,0
32,57941,228474,24,0.2942,0,7,1,3,2,0.1643,0.2126,4,3,20,1
54,57557,10693,18,0.2661,0,1,0,1,1,0.0103,0.0131,51,2,12,0
50,292978,265213,3,0.1566,0,5,0,5,4,0.3017,0.349,10,4,3,0
34,95522,150130,36,0.2994,0,8,0,7,7,0.0437,0.0567,35,4,24,0
22,188006,427028,3,0.201,2,4,0,4,3,0.7571,0.9093,6,4,1,0
21,243849,112462,6,0.2211,1,3,0,1,1,0.0769,0.0939,58,1,4,0
20,196409,40940,6,0.103,1,0,0,4,2,0.0347,0.0383,34,1,2,0
38,199124,325477,36,0.139,2,5,0,5,4,0.0454,0.0517,42,3,34,1
57,271650,40710,18,0.2801,1,0,0,1,1,0.0083,0.0107,29,0,14,0
20,256636,262235,3,0.1733,3,9,0,4,2,0.3406,0.3996,20,4,2,1
38,277722,440402,36,0.1942,1,8,0,3,3,0.044,0.0526,44,2,2,0
25,251849,65968,24,0.2564,0,0,0,0,0,0.0109,0.0137,19,2,7,0
59,247816,140226,6,0.2211,1,1,0,9,7,0.0943,0.1152,5,4,0,0
53,116814,123123,3,0.214,1,3,0,8,8,0.3513,0.4265,24,4,0,0
46,157876,325129,12,0.2812,0,7,0,3,1,0.1716,0.2199,19,1,4,0
56,75517,22594,1,0.2637,0,5,0,6,5,0.2992,0.3781,1,2,1,0
51,250880,463765,6,0.2648,1,3,0,9,9,0.3081,0.3897,35,3,3,0
39,242982,137802,1,0.1682,3,7,0,4,3,0.5671,0.6625,13,2,1,1
48,101023,132598,12,0.2422,0,5,0,8,8,0.1094,0.1359,42,2,10,0
45,206073,67982,24,0.2454,2,0,0,4,3,0.0137,0.0171,55,4,4,0
52,12959,469817,12,0.2481,0,8,0,9,9,3.0212,3.7708,4,0,11,1
51,94061,339217,3,0.1019,0,1,0,1,1,1.2021,1.3246,30,3,1,1
30,229544,141550,6,0.2601,0,4,0,1,0,0.1028,0.1295,1,1,4,0
58,23830,453953,6,0.169,2,6,0,1,0,3.1749,3.7114,58,2,0,1
21,33146,315278,1,0.1188,0,7,0,6,5,9.5118,10.642,58,0,0,0
60,243273,110492,3,0.1957,0,5,0,9,7,0.1514,0.181,55,1,3,0
23,234107,335219,18,0.1923,0,8,1,4,2,0.0796,0.0948,24,0,9,1
18,252725,314408,3,0.1435,0,9,0,6,6,0.4147,0.4742,47,3,0,0
29,145798,497139,24,0.1365,1,8,0,3,1,0.1421,0.1615,31,3,1,0
52,43736,463339,1,0.2821,0,6,0,2,1,10.594,13.5829,9,1,0,0
28,273288,69215,18,0.288,2,4,0,4,2,0.0141,0.0181,46,3,10,0
40,299241,96934,1,0.2765,1,5,0,7,6,0.3239,0.4135,47,3,1,1
31,238216,357754,36,0.1614,0,5,0,2,2,0.0417,0.0484,18,3,23,0
36,163681,225034,6,0.146,0,6,0,3,3,0.2291,0.2626,8,4,2,0
54,260089,39720,12,0.2165,1,1,1,9,7,0.0127,0.0155,34,4,12,1
33,39281,164748,12,0.2677,3,9,0,2,1,0.3495,0.4431,44,1,12,1
61,242139,224371,36,0.1053,0,4,0,1,0,0.0257,0.0285,6,1,33,0
