age,monthly_income,loan_amount,repayment_period,credit_history,device_change_count,ip_change_count,accounts_per_phone,recent_applications,id_reuse_flag,income_age_ratio,loan_income_ratio,night_application,vpn_usage,failed_kyc_attempts,multiple_ids_flag,app_completion_seconds,same_day_multiple_apps,fraud
56,216027,67714,24,3,1,4,1,2,0,3857.625,0.3135,0,0,3,0,2712,0,0
46,278958,298463,24,5,4,5,1,7,0,6064.3043,1.0699,0,1,3,1,1174,0,1
32,277168,120058,24,9,9,2,4,8,0,8661.5,0.4332,1,0,4,0,774,1,1
60,199360,279169,36,8,9,4,1,2,0,3322.6667,1.4003,0,0,0,0,3348,0,0
25,62836,10780,18,9,4,3,2,5,0,2513.44,0.1716,0,0,2,0,2227,0,0
38,274579,285850,1,8,5,0,3,5,1,7225.7632,1.041,0,0,1,0,192,0,1
56,260095,174988,24,8,1,5,2,5,0,4644.5536,0.6728,0,0,2,0,110,0,0
36,266176,76503,6,8,4,5,3,4,0,7393.7778,0.2874,0,1,4,0,637,0,1
40,254717,162928,1,2,0,3,2,5,0,6367.925,0.6396,0,0,3,0,3171,0,0
28,139479,366310,12,8,2,6,2,5,0,4981.3929,2.6263,0,1,3,0,2056,0,0
28,37940,10179,12,2,2,5,3,9,0,1355.0,0.2683,0,0,0,0,691,0,0
41,10666,170695,36,9,2,1,1,5,0,260.1463,16.0037,0,1,0,0,3414,0,0
53,161164,149659,12,2,2,1,4,7,0,3040.8302,0.9286,0,0,4,0,2614,0,0
57,211717,155805,12,4,7,0,4,5,0,3714.3333,0.7359,1,0,0,0,2594,0,0
41,31505,258282,18,5,0,0,4,2,0,768.4146,8.1981,0,0,4,0,268,0,0
20,41713,482522,3,8,5,0,1,6,0,2085.65,11.5677,0,0,2,0,1050,0,0
39,209354,100423,3,0,5,0,2,5,0,5368.0513,0.4797,0,0,1,0,241,0,0
19,82511,124076,24,7,0,4,2,8,0,4342.6842,1.5038,1,0,3,0,3509,0,0
41,217204,136047,18,3,0,7,2,3,0,5297.6585,0.6264,0,0,1,0,262,1,0
61,255694,255477,36,9,2,5,1,0,0,4191.7049,0.9992,0,0,2,0,2628,0,0
47,254836,210527,3,6,7,3,3,5,0,5422.0426,0.8261,0,0,0,0,2374,1,0
55,239561,338282,36,5,5,1,1,8,0,4355.6545,1.4121,0,1,3,0,3010,0,0
19,8880,177535,36,5,3,4,4,7,0,467.3684,19.9927,0,0,0,0,1824,0,0
38,48539,493812,12,6,4,0,2,1,0,1277.3421,10.1735,1,0,1,0,129,0,0
